[2025-09-10 03:44:37,390][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-10 03:45:03,500][trainer][INFO] - Epoch: 0/2000 ,time: 26.11 ,lr: 1.00e-03 ,train_mse: 0.99392  train_mse_bc: 0.50731 ,val_mse: 0.90759  val_mse_bc: 0.46325
[2025-09-10 03:45:27,103][trainer][INFO] - Epoch: 1/2000 ,time: 23.60 ,lr: 1.00e-03 ,train_mse: 0.95718  train_mse_bc: 0.48856 ,val_mse: 0.89789  val_mse_bc: 0.45830
[2025-09-10 03:45:56,736][trainer][INFO] - Epoch: 2/2000 ,time: 29.63 ,lr: 1.00e-03 ,train_mse: 0.94166  train_mse_bc: 0.48064 ,val_mse: 0.88294  val_mse_bc: 0.45067
[2025-09-10 03:46:20,702][trainer][INFO] - Epoch: 3/2000 ,time: 23.97 ,lr: 1.00e-03 ,train_mse: 0.91239  train_mse_bc: 0.46570 ,val_mse: 0.84383  val_mse_bc: 0.43070
[2025-09-10 03:46:44,065][trainer][INFO] - Epoch: 4/2000 ,time: 23.36 ,lr: 1.00e-03 ,train_mse: 0.83944  train_mse_bc: 0.42846 ,val_mse: 0.73353  val_mse_bc: 0.37441
[2025-09-10 03:47:07,500][trainer][INFO] - Epoch: 5/2000 ,time: 23.44 ,lr: 1.00e-03 ,train_mse: 0.65474  train_mse_bc: 0.33419 ,val_mse: 0.47094  val_mse_bc: 0.24037
[2025-09-10 03:47:30,816][trainer][INFO] - Epoch: 6/2000 ,time: 23.32 ,lr: 1.00e-03 ,train_mse: 0.36891  train_mse_bc: 0.18830 ,val_mse: 0.22095  val_mse_bc: 0.11277
[2025-09-10 03:47:54,150][trainer][INFO] - Epoch: 7/2000 ,time: 23.33 ,lr: 1.00e-03 ,train_mse: 0.21348  train_mse_bc: 0.10897 ,val_mse: 0.16054  val_mse_bc: 0.08194
[2025-09-10 03:48:17,753][trainer][INFO] - Epoch: 8/2000 ,time: 23.60 ,lr: 1.00e-03 ,train_mse: 0.16161  train_mse_bc: 0.08249 ,val_mse: 0.13495  val_mse_bc: 0.06888
[2025-09-10 03:48:41,382][trainer][INFO] - Epoch: 9/2000 ,time: 23.63 ,lr: 1.00e-03 ,train_mse: 0.13917  train_mse_bc: 0.07103 ,val_mse: 0.12391  val_mse_bc: 0.06325
[2025-09-10 03:49:04,832][trainer][INFO] - Epoch: 10/2000 ,time: 23.45 ,lr: 1.00e-03 ,train_mse: 0.12880  train_mse_bc: 0.06574 ,val_mse: 0.11664  val_mse_bc: 0.05953
[2025-09-10 03:49:28,343][trainer][INFO] - Epoch: 11/2000 ,time: 23.51 ,lr: 1.00e-03 ,train_mse: 0.12219  train_mse_bc: 0.06237 ,val_mse: 0.11085  val_mse_bc: 0.05658
[2025-09-10 03:49:51,719][trainer][INFO] - Epoch: 12/2000 ,time: 23.38 ,lr: 1.00e-03 ,train_mse: 0.11710  train_mse_bc: 0.05977 ,val_mse: 0.10602  val_mse_bc: 0.05411
[2025-09-10 03:50:14,984][trainer][INFO] - Epoch: 13/2000 ,time: 23.26 ,lr: 1.00e-03 ,train_mse: 0.11288  train_mse_bc: 0.05761 ,val_mse: 0.10198  val_mse_bc: 0.05205
[2025-09-10 03:50:38,409][trainer][INFO] - Epoch: 14/2000 ,time: 23.43 ,lr: 1.00e-03 ,train_mse: 0.10927  train_mse_bc: 0.05577 ,val_mse: 0.09857  val_mse_bc: 0.05031
