[2025-09-10 08:13:37,110][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-10 08:13:40,511][trainer][INFO] - Epoch: 0/10000 ,time: 3.40 ,lr: 5.00e-03 ,train_mse: 1.97402  train_mse_bc: 1.12801 ,val_mse: 5.26257  val_mse_bc: 3.00718
[2025-09-10 08:13:43,669][trainer][INFO] - Epoch: 1/10000 ,time: 3.16 ,lr: 5.00e-03 ,train_mse: 0.38952  train_mse_bc: 0.22258 ,val_mse: 0.82659  val_mse_bc: 0.47234
[2025-09-10 08:13:46,814][trainer][INFO] - Epoch: 2/10000 ,time: 3.14 ,lr: 5.00e-03 ,train_mse: 0.21443  train_mse_bc: 0.12253 ,val_mse: 0.50694  val_mse_bc: 0.28968
[2025-09-10 08:13:49,986][trainer][INFO] - Epoch: 3/10000 ,time: 3.17 ,lr: 5.00e-03 ,train_mse: 0.17761  train_mse_bc: 0.10149 ,val_mse: 0.51449  val_mse_bc: 0.29399
[2025-09-10 08:13:53,123][trainer][INFO] - Epoch: 4/10000 ,time: 3.14 ,lr: 5.00e-03 ,train_mse: 0.16967  train_mse_bc: 0.09696 ,val_mse: 0.42219  val_mse_bc: 0.24125
[2025-09-10 08:13:56,259][trainer][INFO] - Epoch: 5/10000 ,time: 3.14 ,lr: 5.00e-03 ,train_mse: 0.16905  train_mse_bc: 0.09660 ,val_mse: 0.41047  val_mse_bc: 0.23456
[2025-09-10 08:13:59,386][trainer][INFO] - Epoch: 6/10000 ,time: 3.13 ,lr: 5.00e-03 ,train_mse: 0.16828  train_mse_bc: 0.09616 ,val_mse: 0.41075  val_mse_bc: 0.23471
[2025-09-10 08:14:02,552][trainer][INFO] - Epoch: 7/10000 ,time: 3.17 ,lr: 5.00e-03 ,train_mse: 0.16764  train_mse_bc: 0.09579 ,val_mse: 0.41313  val_mse_bc: 0.23608
[2025-09-10 08:14:05,673][trainer][INFO] - Epoch: 8/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.16745  train_mse_bc: 0.09569 ,val_mse: 0.41620  val_mse_bc: 0.23783
[2025-09-10 08:14:08,795][trainer][INFO] - Epoch: 9/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.16752  train_mse_bc: 0.09572 ,val_mse: 0.41985  val_mse_bc: 0.23991
[2025-09-10 08:14:11,917][trainer][INFO] - Epoch: 10/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.16758  train_mse_bc: 0.09576 ,val_mse: 0.42434  val_mse_bc: 0.24248
[2025-09-10 08:14:15,036][trainer][INFO] - Epoch: 11/10000 ,time: 3.12 ,lr: 5.00e-03 ,train_mse: 0.16754  train_mse_bc: 0.09574 ,val_mse: 0.42868  val_mse_bc: 0.24496
