[2025-09-08 07:04:18,942][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-08 07:04:29,882][trainer][INFO] - Epoch: 0/2000 ,time: 10.94 ,lr: 1.00e-03 ,train_mse: 0.26193  train_mse_bc: 0.00408 ,val_mse: 0.19543  val_mse_bc: 0.00304
[2025-09-08 07:04:40,424][trainer][INFO] - Epoch: 1/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.13682  train_mse_bc: 0.00213 ,val_mse: 0.08056  val_mse_bc: 0.00125
[2025-09-08 07:04:50,961][trainer][INFO] - Epoch: 2/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.07028  train_mse_bc: 0.00109 ,val_mse: 0.05326  val_mse_bc: 0.00083
[2025-09-08 07:05:01,584][trainer][INFO] - Epoch: 3/2000 ,time: 10.62 ,lr: 1.00e-03 ,train_mse: 0.04713  train_mse_bc: 0.00073 ,val_mse: 0.03656  val_mse_bc: 0.00057
[2025-09-08 07:05:12,120][trainer][INFO] - Epoch: 4/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.03183  train_mse_bc: 0.00050 ,val_mse: 0.02498  val_mse_bc: 0.00039
[2025-09-08 07:05:22,665][trainer][INFO] - Epoch: 5/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.02124  train_mse_bc: 0.00033 ,val_mse: 0.01692  val_mse_bc: 0.00026
[2025-09-08 07:05:33,215][trainer][INFO] - Epoch: 6/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.01400  train_mse_bc: 0.00022 ,val_mse: 0.01141  val_mse_bc: 0.00018
[2025-09-08 07:05:43,755][trainer][INFO] - Epoch: 7/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00915  train_mse_bc: 0.00014 ,val_mse: 0.00773  val_mse_bc: 0.00012
[2025-09-08 07:05:54,290][trainer][INFO] - Epoch: 8/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00601  train_mse_bc: 0.00009 ,val_mse: 0.00535  val_mse_bc: 0.00008
[2025-09-08 07:06:04,835][trainer][INFO] - Epoch: 9/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00405  train_mse_bc: 0.00006 ,val_mse: 0.00386  val_mse_bc: 0.00006
[2025-09-08 07:06:15,380][trainer][INFO] - Epoch: 10/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00287  train_mse_bc: 0.00004 ,val_mse: 0.00295  val_mse_bc: 0.00005
[2025-09-08 07:06:25,921][trainer][INFO] - Epoch: 11/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00219  train_mse_bc: 0.00003 ,val_mse: 0.00241  val_mse_bc: 0.00004
[2025-09-08 07:06:36,464][trainer][INFO] - Epoch: 12/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00182  train_mse_bc: 0.00003 ,val_mse: 0.00211  val_mse_bc: 0.00003
[2025-09-08 07:06:46,989][trainer][INFO] - Epoch: 13/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00162  train_mse_bc: 0.00003 ,val_mse: 0.00193  val_mse_bc: 0.00003
[2025-09-08 07:06:57,512][trainer][INFO] - Epoch: 14/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00152  train_mse_bc: 0.00002 ,val_mse: 0.00184  val_mse_bc: 0.00003
[2025-09-08 07:07:08,035][trainer][INFO] - Epoch: 15/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00148  train_mse_bc: 0.00002 ,val_mse: 0.00178  val_mse_bc: 0.00003
[2025-09-08 07:07:18,559][trainer][INFO] - Epoch: 16/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00145  train_mse_bc: 0.00002 ,val_mse: 0.00175  val_mse_bc: 0.00003
[2025-09-08 07:07:29,170][trainer][INFO] - Epoch: 17/2000 ,time: 10.61 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00174  val_mse_bc: 0.00003
[2025-09-08 07:07:39,700][trainer][INFO] - Epoch: 18/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00173  val_mse_bc: 0.00003
[2025-09-08 07:07:50,235][trainer][INFO] - Epoch: 19/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:08:00,774][trainer][INFO] - Epoch: 20/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:08:11,480][trainer][INFO] - Epoch: 21/2000 ,time: 10.71 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:08:22,116][trainer][INFO] - Epoch: 22/2000 ,time: 10.64 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:08:32,787][trainer][INFO] - Epoch: 23/2000 ,time: 10.67 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:08:43,325][trainer][INFO] - Epoch: 24/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:08:53,854][trainer][INFO] - Epoch: 25/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:09:04,406][trainer][INFO] - Epoch: 26/2000 ,time: 10.55 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00172  val_mse_bc: 0.00003
[2025-09-08 07:09:15,026][trainer][INFO] - Epoch: 27/2000 ,time: 10.62 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:09:25,564][trainer][INFO] - Epoch: 28/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:09:36,081][trainer][INFO] - Epoch: 29/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:09:46,681][trainer][INFO] - Epoch: 30/2000 ,time: 10.60 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:09:57,198][trainer][INFO] - Epoch: 31/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:10:07,712][trainer][INFO] - Epoch: 32/2000 ,time: 10.51 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:10:18,236][trainer][INFO] - Epoch: 33/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:10:28,919][trainer][INFO] - Epoch: 34/2000 ,time: 10.68 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:10:39,451][trainer][INFO] - Epoch: 35/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:10:49,970][trainer][INFO] - Epoch: 36/2000 ,time: 10.52 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:11:00,510][trainer][INFO] - Epoch: 37/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:11:11,037][trainer][INFO] - Epoch: 38/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:11:21,580][trainer][INFO] - Epoch: 39/2000 ,time: 10.54 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:11:32,240][trainer][INFO] - Epoch: 40/2000 ,time: 10.66 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:11:42,871][trainer][INFO] - Epoch: 41/2000 ,time: 10.63 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:11:53,401][trainer][INFO] - Epoch: 42/2000 ,time: 10.53 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
[2025-09-08 07:12:03,912][trainer][INFO] - Epoch: 43/2000 ,time: 10.51 ,lr: 1.00e-03 ,train_mse: 0.00144  train_mse_bc: 0.00002 ,val_mse: 0.00171  val_mse_bc: 0.00003
