[2025-09-09 06:46:07,739][trainer][INFO] - Start Trainning (blocks #0)
[2025-09-09 06:46:22,214][trainer][INFO] - Epoch: 0/2000 ,time: 14.47 ,lr: 1.00e-03 ,train_mse: 0.46726  train_mse_bc: 0.25592 ,val_mse: 0.30432  val_mse_bc: 0.16668
[2025-09-09 06:46:36,340][trainer][INFO] - Epoch: 1/2000 ,time: 14.12 ,lr: 1.00e-03 ,train_mse: 0.09285  train_mse_bc: 0.05085 ,val_mse: 0.02038  val_mse_bc: 0.01116
[2025-09-09 06:46:50,455][trainer][INFO] - Epoch: 2/2000 ,time: 14.12 ,lr: 1.00e-03 ,train_mse: 0.02754  train_mse_bc: 0.01509 ,val_mse: 0.02669  val_mse_bc: 0.01462
[2025-09-09 06:47:04,639][trainer][INFO] - Epoch: 3/2000 ,time: 14.18 ,lr: 1.00e-03 ,train_mse: 0.01892  train_mse_bc: 0.01036 ,val_mse: 0.01745  val_mse_bc: 0.00956
[2025-09-09 06:47:18,726][trainer][INFO] - Epoch: 4/2000 ,time: 14.09 ,lr: 1.00e-03 ,train_mse: 0.01635  train_mse_bc: 0.00896 ,val_mse: 0.01576  val_mse_bc: 0.00863
[2025-09-09 06:47:32,903][trainer][INFO] - Epoch: 5/2000 ,time: 14.18 ,lr: 1.00e-03 ,train_mse: 0.01558  train_mse_bc: 0.00853 ,val_mse: 0.01578  val_mse_bc: 0.00864
[2025-09-09 06:47:46,984][trainer][INFO] - Epoch: 6/2000 ,time: 14.08 ,lr: 1.00e-03 ,train_mse: 0.01543  train_mse_bc: 0.00845 ,val_mse: 0.01558  val_mse_bc: 0.00854
[2025-09-09 06:48:01,066][trainer][INFO] - Epoch: 7/2000 ,time: 14.08 ,lr: 1.00e-03 ,train_mse: 0.01536  train_mse_bc: 0.00841 ,val_mse: 0.01553  val_mse_bc: 0.00851
[2025-09-09 06:48:15,102][trainer][INFO] - Epoch: 8/2000 ,time: 14.04 ,lr: 1.00e-03 ,train_mse: 0.01530  train_mse_bc: 0.00838 ,val_mse: 0.01548  val_mse_bc: 0.00848
[2025-09-09 06:48:29,107][trainer][INFO] - Epoch: 9/2000 ,time: 14.00 ,lr: 1.00e-03 ,train_mse: 0.01526  train_mse_bc: 0.00836 ,val_mse: 0.01542  val_mse_bc: 0.00845
[2025-09-09 06:48:43,093][trainer][INFO] - Epoch: 10/2000 ,time: 13.99 ,lr: 1.00e-03 ,train_mse: 0.01522  train_mse_bc: 0.00834 ,val_mse: 0.01537  val_mse_bc: 0.00842
[2025-09-09 06:48:57,095][trainer][INFO] - Epoch: 11/2000 ,time: 14.00 ,lr: 1.00e-03 ,train_mse: 0.01518  train_mse_bc: 0.00831 ,val_mse: 0.01532  val_mse_bc: 0.00839
[2025-09-09 06:49:11,066][trainer][INFO] - Epoch: 12/2000 ,time: 13.97 ,lr: 1.00e-03 ,train_mse: 0.01513  train_mse_bc: 0.00829 ,val_mse: 0.01527  val_mse_bc: 0.00836
[2025-09-09 06:49:25,056][trainer][INFO] - Epoch: 13/2000 ,time: 13.99 ,lr: 1.00e-03 ,train_mse: 0.01508  train_mse_bc: 0.00826 ,val_mse: 0.01521  val_mse_bc: 0.00833
[2025-09-09 06:49:39,174][trainer][INFO] - Epoch: 14/2000 ,time: 14.12 ,lr: 1.00e-03 ,train_mse: 0.01504  train_mse_bc: 0.00824 ,val_mse: 0.01516  val_mse_bc: 0.00830
[2025-09-09 06:49:53,240][trainer][INFO] - Epoch: 15/2000 ,time: 14.07 ,lr: 1.00e-03 ,train_mse: 0.01498  train_mse_bc: 0.00821 ,val_mse: 0.01510  val_mse_bc: 0.00827
[2025-09-09 06:50:07,285][trainer][INFO] - Epoch: 16/2000 ,time: 14.04 ,lr: 1.00e-03 ,train_mse: 0.01493  train_mse_bc: 0.00818 ,val_mse: 0.01504  val_mse_bc: 0.00824
[2025-09-09 06:50:21,289][trainer][INFO] - Epoch: 17/2000 ,time: 14.00 ,lr: 1.00e-03 ,train_mse: 0.01488  train_mse_bc: 0.00815 ,val_mse: 0.01499  val_mse_bc: 0.00821
[2025-09-09 06:50:35,296][trainer][INFO] - Epoch: 18/2000 ,time: 14.01 ,lr: 1.00e-03 ,train_mse: 0.01482  train_mse_bc: 0.00812 ,val_mse: 0.01496  val_mse_bc: 0.00819
[2025-09-09 06:50:49,329][trainer][INFO] - Epoch: 19/2000 ,time: 14.03 ,lr: 1.00e-03 ,train_mse: 0.01477  train_mse_bc: 0.00809 ,val_mse: 0.01490  val_mse_bc: 0.00816
[2025-09-09 06:51:03,396][trainer][INFO] - Epoch: 20/2000 ,time: 14.07 ,lr: 1.00e-03 ,train_mse: 0.01471  train_mse_bc: 0.00806 ,val_mse: 0.01483  val_mse_bc: 0.00812
[2025-09-09 06:51:17,396][trainer][INFO] - Epoch: 21/2000 ,time: 14.00 ,lr: 1.00e-03 ,train_mse: 0.01466  train_mse_bc: 0.00803 ,val_mse: 0.01477  val_mse_bc: 0.00809
[2025-09-09 06:51:31,409][trainer][INFO] - Epoch: 22/2000 ,time: 14.01 ,lr: 1.00e-03 ,train_mse: 0.01460  train_mse_bc: 0.00800 ,val_mse: 0.01472  val_mse_bc: 0.00806
[2025-09-09 06:51:45,394][trainer][INFO] - Epoch: 23/2000 ,time: 13.98 ,lr: 1.00e-03 ,train_mse: 0.01455  train_mse_bc: 0.00797 ,val_mse: 0.01465  val_mse_bc: 0.00803
[2025-09-09 06:51:59,391][trainer][INFO] - Epoch: 24/2000 ,time: 14.00 ,lr: 1.00e-03 ,train_mse: 0.01449  train_mse_bc: 0.00794 ,val_mse: 0.01460  val_mse_bc: 0.00800
[2025-09-09 06:52:13,444][trainer][INFO] - Epoch: 25/2000 ,time: 14.05 ,lr: 1.00e-03 ,train_mse: 0.01444  train_mse_bc: 0.00791 ,val_mse: 0.01454  val_mse_bc: 0.00796
[2025-09-09 06:52:27,474][trainer][INFO] - Epoch: 26/2000 ,time: 14.03 ,lr: 1.00e-03 ,train_mse: 0.01438  train_mse_bc: 0.00788 ,val_mse: 0.01448  val_mse_bc: 0.00793
[2025-09-09 06:52:41,443][trainer][INFO] - Epoch: 27/2000 ,time: 13.97 ,lr: 1.00e-03 ,train_mse: 0.01433  train_mse_bc: 0.00785 ,val_mse: 0.01441  val_mse_bc: 0.00789
[2025-09-09 06:52:55,413][trainer][INFO] - Epoch: 28/2000 ,time: 13.97 ,lr: 1.00e-03 ,train_mse: 0.01427  train_mse_bc: 0.00782 ,val_mse: 0.01437  val_mse_bc: 0.00787
[2025-09-09 06:53:09,383][trainer][INFO] - Epoch: 29/2000 ,time: 13.97 ,lr: 1.00e-03 ,train_mse: 0.01422  train_mse_bc: 0.00779 ,val_mse: 0.01430  val_mse_bc: 0.00783
[2025-09-09 06:53:23,473][trainer][INFO] - Epoch: 30/2000 ,time: 14.09 ,lr: 1.00e-03 ,train_mse: 0.01416  train_mse_bc: 0.00776 ,val_mse: 0.01424  val_mse_bc: 0.00780
[2025-09-09 06:53:37,515][trainer][INFO] - Epoch: 31/2000 ,time: 14.04 ,lr: 1.00e-03 ,train_mse: 0.01411  train_mse_bc: 0.00773 ,val_mse: 0.01419  val_mse_bc: 0.00777
[2025-09-09 06:53:51,507][trainer][INFO] - Epoch: 32/2000 ,time: 13.99 ,lr: 1.00e-03 ,train_mse: 0.01406  train_mse_bc: 0.00770 ,val_mse: 0.01413  val_mse_bc: 0.00774
[2025-09-09 06:54:05,525][trainer][INFO] - Epoch: 33/2000 ,time: 14.02 ,lr: 1.00e-03 ,train_mse: 0.01400  train_mse_bc: 0.00767 ,val_mse: 0.01406  val_mse_bc: 0.00770
[2025-09-09 06:54:19,604][trainer][INFO] - Epoch: 34/2000 ,time: 14.08 ,lr: 1.00e-03 ,train_mse: 0.01394  train_mse_bc: 0.00764 ,val_mse: 0.01400  val_mse_bc: 0.00767
[2025-09-09 06:54:33,640][trainer][INFO] - Epoch: 35/2000 ,time: 14.04 ,lr: 1.00e-03 ,train_mse: 0.01389  train_mse_bc: 0.00761 ,val_mse: 0.01395  val_mse_bc: 0.00764
